Durationinseconds,RecordedDate,ResponseId,Employment,Country,CountryOther,Gender,Age,Education,CollarColor,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,MissingData,ZeroVar,ValuesDomain,MediatorDomain,FulfillmentDomain
187,6/27/2017 4:37:14,R_Q4lTjiXzAYQZ97z,1,5, ,1,3,5,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,1,10,10,10
170,6/27/2017 4:37:24,R_27TdSJeIo450kvc,1,5, ,1,2,3,3,3,3,3,4,4,4,4,4,4,4,3,6,7,7,8,6,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,0,0,3.625,5.58333333333333,7
246,6/27/2017 4:38:27,R_2cCOS4EhLTq9zJO,1,5, ,1,3,5,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10, ,10,10,10,10,10,10,10,10,10,10,10,1,1,10,10,10
125,6/27/2017 4:39:17,R_1mrNCuS8oeToOb2,1,1, ,2,2,5,4,8,7,7,5,7,6,3,7,8,7,3,5,8,8,9,9,8,8,9,9,9,9,6,6,4,5,9,9,9,8,9,0,0,6.25,7.58333333333333,7.54545454545455
380,6/27/2017 4:39:38,R_3iWgyyl5iIZU78H,1,6,Portugal,1,2,5,4,5,9,9,10,6,1,7,6,6,4,4,9,10,8,8,9,5,9,8,8,5,7, ,6,4,7,5,5,6,6,6,1,0,6.625,7.33333333333333,5.7
383,6/27/2017 4:40:36,R_1ml2YWFG1wQ1pW8,1,1, ,2,2,5,2,10,10,10,10,7,10,10,10,10,7,9,10,10,8,10,10,10,10,7,10,8,10,10,10,10,10,10,10,7,10,10,0,0,9.625,9.25,9.54545454545454
199,6/27/2017 4:41:57,R_1ouO4sMqTcP8SBA,1,5, ,2,2,5,2,10,10,10,10,9,4,8,8,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,9,9,6,8,9,9,9,9,0,0,8.625,9.91666666666667,8.81818181818182
150,6/27/2017 4:42:45,R_3RjQJnH2bV5nkMH,1,1, ,1,2,5,3,6,6,5,6,6,5,6,5,5,5,6,5,5,5,4,6,5,6,5,6,5,6,7,6,5,6,5,6,5,5,6,0,0,5.625,5.25,5.63636363636364
201,6/27/2017 4:44:04,R_2TAUC4ltKiOAyyh,1,3, ,1,2,6,4,9,9,10,7,8,7,8,9,8,7,8,8,9,9,8,9,7,8,8,9,10,10,9,8,8,8,6,7,8,9,9,0,0,8.375,8.16666666666667,8.36363636363636
104,6/27/2017 4:44:08,R_12uo5vxmJnkSdmd,2,1, ,2,2,4,2,0,9,7,5,5,7,4,6,7,7,4,4,8,7,4,6,6,7,6,7,5,9,6,7,8,8,9,8,4,4,5,0,0,5.375,6.08333333333333,6.63636363636364
376,6/27/2017 4:45:28,R_3iX1fh9TZqBXmLl,1,5, ,2,2,6,3,7,9,7,8,8,7,9,10,8,5,7,8,9,7,9,8,8,5,6,10,8,7,8,7,7,7,5,10,6,6,9,0,0,8.125,7.5,7.27272727272727
152,6/27/2017 4:46:41,R_11c38U9wp6lwypD,1,5, ,1,1,5,3,4,6,4,5,4,5,3,5,7,4,3,6,4,5,4,4,7,4,5,4,6,4,2,5,6,4,5,7,3,5,3,0,0,4.5,4.75,4.54545454545455
230,6/27/2017 4:47:21,R_2ducfSkQ2Alon9F,1,5, ,1,3,5,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,1,10,10,10
159,6/27/2017 4:48:40,R_SDIMD6GBBCkuk6Z,2,1, ,2,3,4,3,10,10,10,10,10,7,10,10,9,8,10,10,10,10,10,10,8,10,10,10,10,10,10,8,8,9,10,10,9,10,10,0,0,9.625,9.58333333333333,9.45454545454546
394,6/27/2017 4:50:18,R_e9SDNZwlnLwSi6F,1,1, ,2,2,5,4,7,6,8,5,7,9,8,4,7,9,8,6,8,10,9,7,8,4,8,9,8,4,7,9,8,6,7,8,9,7,5,0,0,6.75,7.75,7.09090909090909
397,6/27/2017 4:50:25,R_0Ic7Fl07Jn8eTZ3,1,1, ,1,2,5,4,7,8,10,9,8,7,6,9,10,9,8,7,6,9,10,9,8,7,6,8,10,9,8,7,6,7,9,8,9,10,9,0,0,8,8.08333333333333,8.36363636363636
393,6/27/2017 4:50:28,R_dj7DRv9K7zEd3p3,1,1, ,1,2,5,4,8,10,8,6,8,10,8,5,7,10,9,6,7,10,8,7,5,7,9,10,8,7,5,8,10,9,7,8,5,7,9,0,0,7.875,7.91666666666667,7.54545454545455
166,6/27/2017 4:51:03,R_3NLrDPMGYQt4iOH,1,1, ,2,2,6,2,10,10,10,10,8,10,8,9,10,7,6,8,10,5,10,8,5,10,5,9,10,5,5,6,8,7,8,10,5,7,8,0,0,9.375,7.75,7.18181818181818
334,6/27/2017 4:52:40,R_2PvqAEmGQLgNKyP,1,1, ,2,2,4,1,8,9,8,6,7,5,6,9,8,8,8,7,10,8,9,9,6,8,8,9,9,9,8,9,8,7,8,8,7,6,7,0,0,7.25,8.16666666666667,7.81818181818182
662,6/27/2017 5:02:19,R_3KGGH590nRErHVh,1,5, ,1,2,4,3,6,7,7,6,7,7,3,7,7,6,7,7,6,7,6,7,7,6,7,7,6,7,6,7,6,7,6,6,7,7,6,0,0,6.25,6.66666666666667,6.45454545454545
398,6/27/2017 5:02:46,R_3P6veijoDXFAKZC,1,5, ,1,3,6,4,8,9,9,8,8,5,8,8,8,8,9,8,7,7,9,8,7,7,9,8,8,9,9,8,9,8,7,9,7,8,9,0,0,7.875,7.91666666666667,8.27272727272727
503,6/27/2017 5:04:10,R_W68cL9b13SEYQi5,1,5, ,1,2,5,4,7,8,6,8,8,8,8,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,7.5,8.83333333333333,9
154,6/27/2017 5:08:42,R_24dWBKp6cqtKZ4e,1,1, ,1,4,4,4,8,8,8,7,7,7,6,7,8,7,8,7,8,7,8,7,8,7,7,7,8,7,6,7,6,7,6,7,6,7,7,0,0,7.25,7.41666666666667,6.72727272727273
175,6/27/2017 5:11:06,R_XLHABdBJlY0D7BT,1,5, ,2,3,6,4,7,9,8,9,7,8,8,8,8,9,9,8,7,7,8,7,8,7,8,8,7,8,7,7,7,8,7,8,9,9,9,0,0,8,7.83333333333333,7.81818181818182
248,6/27/2017 5:13:59,R_1dMnbKOn5BYbTz2,1,5, ,1,2,5,4,7,9,6,8,6,8,8,7,8,7,8,8,9,6,9,8,7,8,5,9,8,7,8,7,8,8,6,9,5,6,6,0,0,7.375,7.66666666666667,7.09090909090909
719,6/27/2017 5:14:03,R_sMR7mgjG5Q4Mc2B,1,5, ,2,2,5,5,10,9,8,8,8,9,9,10,9,8,8,8,8,8,10,9,8,8,6,8,8,9,8,8,9,8,9,8,9,8,9,0,0,8.875,8.16666666666667,8.45454545454546
182,6/27/2017 5:14:15,R_3oBABOO5ZWLEJl7,1,1, ,1,2,6,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,8,8,8,0,0,8,7.91666666666667,7.27272727272727
103,6/27/2017 5:21:10,R_2YeNhKPhfAra1d1,1,5, ,1,2,6,3,8,7,6,8,5,6,8,9,7,6,7,8,4,7,9,7,6,8,7,6,8,5,6,7,6,8,5,6,8,6,4,0,0,7.125,6.83333333333333,6.27272727272727
183,6/27/2017 5:28:22,R_2WHBwaNCq5SXb0X,1,5, ,1,2,6,3,8,6,8,6,9,8,8,7,5,7,6,8,6,7,7,7,6,8,8,7,8,7,7,7,9,9,7,9,4,6,6,0,0,7.5,6.83333333333333,7.18181818181818
64,6/27/2017 5:29:03,R_eSh8Cr5lTWCt973,1,1, ,1,2,4,3,10,3,9,6,3,8,4,5,6,6,2,7,2,5,4,6,8,1,8,6,5,3,6,8,9,1,10,3,6,7,2,0,0,6,5.08333333333333,5.45454545454545
165,6/27/2017 5:36:23,R_1hKzYVxQCFxsvBo,1,5, ,1,4,5,4,5,6,6,7,4,7,4,5,5,6,6,6,4,5,6,5,6,5,6,4,6,5,6,5,6,5,5,7,5,6,5,0,0,5.5,5.33333333333333,5.54545454545455
131,6/27/2017 5:42:05,R_DGfCpjAQfLSeuJz,1,1, ,2,4,5,4,8,9,8,9,9,0,9,8,8,8,8,8,9,8,8,9,9,5,9,9,9,9,9,9,9,5,8,8,9,8,9,0,0,7.5,8.16666666666667,8.36363636363636
234,6/27/2017 5:44:19,R_3EKAQSI6409736F,1,5, ,1,5,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,1,7,7,7
348,6/27/2017 5:46:09,R_blwp5ozReTifdXb,1,5, ,1,2,5,3,8,10,7,9,3,6,9,10,9,8,10,7,10,9,8,9,10,9,8,10,3,8,8,9,10,9,10,9,8,2,8,0,0,7.75,8.91666666666667,7.63636363636364
151,6/27/2017 5:47:28,R_C3q3tnVfEiTQsbD,1,5, ,1,3,5,2,7,10,8,9,7,7,8,9,9,6,8,8,10,6,8,9,8,8,8,8,7,7,9,9,8,7,8,9,5,9,8,0,0,8.125,8,7.81818181818182
186,6/27/2017 5:47:39,R_2v2oPkSZV4W4Zrd,1,5, ,1,3,5,4,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,8.75,10,10
961,6/27/2017 5:48:08,R_1jNy5L18HYy87WA,1,5, ,1,2,5,2,6,7,8,7,8,7,4,7,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,4,6,4,7,6,0,0,6.75,6.5,6
234,6/27/2017 5:50:26,R_1IN3n8lOp2Oi5Jb,1,5, ,1,2,5,3,7,8,8,8,8,7,8,8,7,8,8,9,9,7,7,8,8,7,7,8,7,8,7,9,9,8,8,9,8,8,8,0,0,7.75,7.75,8.09090909090909
318,6/27/2017 5:52:15,R_30qTlJcqJ125jjZ,1,5, ,1,2,5,3,9,10,7,9,6,5,9,10,9,5,7,8,9,6,10,10,8,7,10,10,8,9,10,7,8,4,7,8,6,7,6,0,0,8.125,8.25,7.27272727272727
146,6/27/2017 5:52:41,R_2c0MDZIke8KN5A2,1,5, ,1,3,4,4,8,6,6,7,7,4,6,7,8,4,7,7,8,6,6,5,3,6,6,6,4,6,7,8,6,4,6,7,7,5,6,0,0,6.375,6,6
319,6/27/2017 5:56:14,R_27HUv7UA2ZK4LmU,1,5, ,1,3,5,4,8,8,8,8,8,6,8,8, ,8,7, ,8,8,8,8,8,8,8,9,8,8,8,8,8, ,8,8,8,8,8,1,0,7.75,8,8
954,6/27/2017 5:57:42,R_2whiVmKnmhq6GjA,1,5, ,1,2,6,4,9,9,10,8,9,5,10,9,8,8,9,9,10,8,10,10,7,8,9,10,7,6,10,9,8,4,7,9,8,9,9,0,0,8.625,8.83333333333333,7.81818181818182
182,6/27/2017 5:59:30,R_RDnCtbyjIfLiDrH,1,6,Italy,1,3,4,4,8,7,7,7,7,5,5,5,10,7,7,7,10,8,10,8,7,10,8,10,7,8,8,8,8,5,8,10,10,8,8,0,0,6.375,8.5,8
230,6/27/2017 6:00:37,R_d4mo7cuJCLh3Vuh,1,1, ,2,3,5,4,10,10,10,10,10,10,10,10,10,10, ,10,9,10,10,10,10,9,10,10,10,10,9,10,10,9,10,10,10,8,9,1,0,10,9.81818181818182,9.54545454545454
299,6/27/2017 6:00:49,R_2fycGY6lKyoTluz,1,1, ,2,1,4,2,8,10,9,8,8,5,8,10,8,9,10,9,10,9,9,10,5,7,5,8,5,8,10,9,10,9,9,9,9,7,5,0,0,8.25,8.25,8.18181818181818
389,6/27/2017 6:02:33,R_WflIJpzZLuC7z4B,1,5, ,1,2,6,3,9,10,10,9,9,10,9,9,10,9,9,10,10,10,10,10,9,9,10,9,10,10,10,10,9,10,10,10,10,10,10,0,0,9.375,9.58333333333333,9.90909090909091
300,6/27/2017 6:03:08,R_3oYK70iE9SgThPU,1,1, ,1,2,6,4,9,8,8,8,8,8,8,7,8,8,7,8,10,8,9,9,8,7,9,8,7,8,8,9,8,8,7,8,8,8,8,0,0,8,8.25,7.90909090909091
127,6/27/2017 6:03:39,R_1FFB40mixzIeexD,1,5, ,1,2,6,4,5,5,6,5,5,5, ,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,1,0,5.14285714285714,5.25,5.09090909090909
484,6/27/2017 6:04:31,R_3M3wnMgHc8ncfhv,1,5, ,2,2,6,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,1,10,10,10
326,6/27/2017 6:09:55,R_28D8z2i5Pwc9rnO,1,5, ,1,2,5,3,7,9,8,8,8,9,9,8,8,7,8,7,9,8,8,8,9,7,8,8,7,8,7,7,7,6,6,7,6,8,8,0,0,8.25,7.91666666666667,7
242,6/27/2017 6:12:04,R_1pu3AYtWat328oW,2,1, ,2,2,5,3,9,9,10,6,5,5,5,7,7,5,5,7,8,6,7,7,8,8,5,5,7,6,6,5,6,6,5,7,7,7,6,0,0,7,6.5,6.18181818181818
260,6/27/2017 6:12:04,R_24Owd1RmJKZ5rVa,2,1, ,1,2,6,4,8,9,8,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,8.625,9,9
530,6/27/2017 6:16:20,R_25zpYjSkMBPZBul,2,1, ,2,3,4,3,10,10,10,10,10,7,10,10,10,0,5,10,10,6,10,9,10,10,10,5,7,10,10,6,10,7,10,10,8,6,10,0,0,9.625,7.91666666666667,8.54545454545454
136,6/27/2017 6:23:45,R_2fCf2SzE0NBzojw,1,5, ,1,1,4,3,9,8,7,8,10,7,7,8,7,6,8,9,7,7,8,8,8,9,7,9,7,7,8,8,9,9,8,9,9,8,9,0,0,8,7.75,8.27272727272727
176,6/27/2017 6:25:23,R_1N4Go4gGSkFKmjw,2,1, ,1,1,4,1,6,8,7,8,8,7,7,7,8,7,8,8,7,7,7,7,8,7,8,7,8,8,8,8,8,8,8,7,7,7,7,0,0,7.25,7.41666666666667,7.63636363636364
117,6/27/2017 6:25:58,R_3JIw1XMzfgnIxhM,1,1, ,1,1,5,2,5,8,6,7,3,3,6,7,6,6,7,7,8,7,8,9,7,4,6,7,8,7,5,6,6,7,7,8,6,5,6,0,0,5.625,6.83333333333333,6.45454545454545
318,6/27/2017 6:29:18,R_1dyq1ym9UoNaDbV,1,1, ,2,2,5,4,10,10,6,8,7,8,8,8,8,8,9,9,10,9,9,10,10,9,5,10,9,7,7,7,10,8,8,8,9,9,8,0,0,8.125,8.83333333333333,8.18181818181818
333,6/27/2017 6:29:21,R_33g3cCxR6p394R8,1,1, ,1,2,3,2,8,10,10,10,5,7,7,7,7,5,7,8,8,8,8,7,8,7,8,9,8,8,8,7,8,7,7,8,8,10,8,0,0,8,7.5,7.90909090909091
187,6/27/2017 6:31:34,R_3e39Hzsb9ajca39,2,5, ,2,2,6,4,5,7,5,6,7,6,6,7,7,6,7,7,6,7,6,6,5,5,6,6,5,6,6,5,6,6,6,5,6,6,5,0,0,6.125,6.16666666666667,5.63636363636364
121,6/27/2017 6:32:55,R_3Gp74rW4wkJVK96,1,1, ,1,1,5,4,7,8,8,9,8,8,8,9,9,8, ,8,9,9,8,7,8,9,8,8,7,8,8,9,8,7,8,9,5,8,7,1,0,8.125,8.27272727272727,7.63636363636364
184,6/27/2017 6:37:43,R_2CxILqV6JyRc7YX,2,6,Venezuela,1,2,5,3,7,9,9,9,3,3,3,3,5,5,4,8,8,7,8,8,9,1,9,10,10,8,8,8,8,2,4,6,6,4,8,0,0,5.75,6.83333333333333,6.54545454545455
127,6/27/2017 6:38:06,R_1l6wXXU7YZW5znn,1,5, ,1,2,5,3,7,7,6,9,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7.125,6.58333333333333,7
125,6/27/2017 6:44:29,R_12KX4IOnOdhhGvo,1,1, ,2,2,5,3,9,9,9,9,9,9,8,9,8,9,8,9,8,9,8,9,9,9,9,9,9,8,8,8,9,8,9,8,9,9,8,0,0,8.875,8.66666666666667,8.45454545454546
111,6/27/2017 6:46:23,R_SPlyEu9QLV6ZboZ,2,1, ,1,2,3,1,8,9,8,9,8,8,8,8,8,8,8,8,8,8,9,9,9,9,8,9,9,9,8,9,9,9,8,9,8,9,9,0,0,8.25,8.41666666666667,8.72727272727273
206,6/27/2017 6:51:08,R_3Ra4L1yZtTTG4CE,1,1, ,2,2,5,4,5,10,8,2,3,8,5,9,8,10,7,5,10,9,10,9,10,4,8,10,10,10,8,6,7,10,7,9,10,5,10,0,0,6.25,8.33333333333333,8.36363636363636
144,6/27/2017 6:53:51,R_1pQMTkRJ0YcaBQz,2,5, ,1,2,5,3,7,7,8,8,6,8,7,8,7,8,8,6,8,8,8,7,8,10,6,8,8,9,9,9,7,8,7,9,9,6,7,0,0,7.375,7.66666666666667,8
163,6/27/2017 6:54:10,R_rdMxTtZNsvA7vpv,1,5, ,1,2,5,3,8,7,7,7,7,5,6,6,6,5,7,6,6,6,6,5,7,7,7,6,6,7,6,6,7,5,5,5,4,5,4,0,0,6.625,6.16666666666667,5.45454545454545
124,6/27/2017 7:00:06,R_3qL7lkulFk4Ph32,1,1, ,1,2,4,3,7,9,9,8,5,5,8,7,7,5,7,8,10,6,9,8,5,8,7,9,8,8,8,7,8,6,7,10,7,9,8,0,0,7.25,7.41666666666667,7.81818181818182
312,6/27/2017 7:02:30,R_1esG6O6ea2pDEyp,1,6,the Netherlands,1,2,5,4,9,9,9,8,8,8,7,8,9,7,3,6,8,8,8,9,8,9,7,9,9,10,9,8,8,8,8,8,9,7,7,0,0,8.25,7.58333333333333,8.27272727272727
218,6/27/2017 7:12:51,R_3phxuZOCssP27rT,2,1, ,2,1,4,3,8,9,8,9,9,7,9,9,9,9,9,8,9,8,9,9,9,9,9,10,8,8,9,8,8,7,10,7,10,3,7,0,0,8.5,8.91666666666667,7.72727272727273
1026,6/27/2017 7:14:17,R_1QQ141eCWVAeJ1L,1,1, ,1,3,5,4,7,8,5,8,8,8,8,9,7,8,9,7,9,9,9,9,9,6,8,8,9,8,9,9,7,8,7,9,8,9,9,0,0,7.625,8.16666666666667,8.36363636363636
608,6/27/2017 7:14:41,R_ThEz8ON9lcdFDNf,1,5, ,1,1,5,3,10,10,7,10,8,6,7,7,5,3,10,9,10,7,7,9,6,8,6,8,9,7,5,8,6,4,6,6,8,7,9,0,0,8.125,7.33333333333333,6.81818181818182
681,6/27/2017 7:18:35,R_25TosGCzDvU3Bo6,1,5, ,2,2,5,3,7,8,8,9,8,8,9,9,8,7,10,8,10,8,9,8,8,9,7,9,9,8,8,9,8,7,7,9,8,7,8,0,0,8.25,8.41666666666667,8
136,6/27/2017 7:20:13,R_1gBdxBgYCSHaJoi,1,1, ,2,2,5,2,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,9.875,9.83333333333333,10
141,6/27/2017 7:22:09,R_2SoVFrUAPs08pEe,1,1, ,2,4,5,4,8,9,7,9,7,6,8,9,9,6,7,9,9,9,8,9,8,8,8,10,10,8,9,8,8,6,6,8,8,9,8,0,0,7.875,8.33333333333333,8
246,6/27/2017 7:22:12,R_3EyYC8YQsNbWj0L,1,6,France,1,2,4,3,9,9,8,7,10,10,6,7,8,10,5,5,10,9,9,8,5,10,7,10,5,8,6,6,10,8,10,9,7,9,8,0,0,8.25,8,7.81818181818182
163,6/27/2017 7:28:59,R_1drYkjNEG94QGQ3,1,5, ,1,2,3,3,8,8,8,9,9,9,9,9,9,9,7,8,10,8,10,9,9,6,8,9,9,8,9,9,9,9,7,9,9,7,7,0,0,8.625,8.5,8.36363636363636
129,6/27/2017 7:36:24,R_xsXlOrNdTub4Sqt,1,1, ,1,2,5,4,5,8,6,7,6,6,7,9,6,7,8,7,9,7,8,7,6,7,8,7,6,7,6,6,8,7,7,9,8,8,9,0,0,6.75,7.25,7.36363636363636
264,6/27/2017 7:37:41,R_2EmLdJ5Pgv1g1rG,1,1, ,2,2,6,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,1,10,10,10
